date	STCK
17/01/2018 00:00	179.26
18/01/2018 00:00	177.72
19/01/2018 00:00	180.98
22/01/2018 00:00	180.78
23/01/2018 00:00	186.5
24/01/2018 00:00	190
25/01/2018 00:00	187.97
26/01/2018 00:00	190
29/01/2018 00:00	188.7
30/01/2018 00:00	183.12
31/01/2018 00:00	188.45
01/02/2018 00:00	187.96
02/02/2018 00:00	192.1
05/02/2018 00:00	186.9
06/02/2018 00:00	178.2
07/02/2018 00:00	184.24
08/02/2018 00:00	181
09/02/2018 00:00	174.44
12/02/2018 00:00	177.1
13/02/2018 00:00	175
14/02/2018 00:00	173.49
15/02/2018 00:00	180.38
16/02/2018 00:00	178.99
20/02/2018 00:00	175.76
21/02/2018 00:00	176.71
22/02/2018 00:00	178.79
23/02/2018 00:00	179.87
26/02/2018 00:00	184.8
27/02/2018 00:00	184.35
28/02/2018 00:00	182.3
01/03/2018 00:00	179.15
02/03/2018 00:00	173.38
05/03/2018 00:00	176.2
06/03/2018 00:00	181.78
07/03/2018 00:00	178.74
08/03/2018 00:00	183.59
09/03/2018 00:00	183.9
12/03/2018 00:00	185.26
13/03/2018 00:00	185.5
14/03/2018 00:00	182.5
15/03/2018 00:00	183.24
16/03/2018 00:00	184.49
19/03/2018 00:00	176.97
20/03/2018 00:00	167.5
21/03/2018 00:00	164.58
22/03/2018 00:00	166.29
23/03/2018 00:00	9.63
26/03/2018 00:00	160.63
27/03/2018 00:00	156.3
28/03/2018 00:00	151.45
29/03/2018 00:00	155
02/04/2018 00:00	157.91
03/04/2018 00:00	156.63
04/04/2018 00:00	152.12
05/04/2018 00:00	161.27
06/04/2018 00:00	157.785
09/04/2018 00:00	157.82
10/04/2018 00:00	157.66
11/04/2018 00:00	165.54
12/04/2018 00:00	166.98
13/04/2018 00:00	164.65
16/04/2018 00:00	165.68
17/04/2018 00:00	165.76
18/04/2018 00:00	166.97
19/04/2018 00:00	166.29
20/04/2018 00:00	167.72
23/04/2018 00:00	167.25
24/04/2018 00:00	165.43
25/04/2018 00:00	160.145
26/04/2018 00:00	173
27/04/2018 00:00	176.99
30/04/2018 00:00	173.79
01/05/2018 00:00	172
02/05/2018 00:00	174.3
03/05/2018 00:00	175.13
04/05/2018 00:00	173.08
07/05/2018 00:00	177.2
08/05/2018 00:00	178.31
09/05/2018 00:00	179.75
10/05/2018 00:00	183.05
11/05/2018 00:00	184.74
14/05/2018 00:00	187.75
15/05/2018 00:00	184.87
16/05/2018 00:00	183.61
17/05/2018 00:00	182.68
18/05/2018 00:00	183.49
21/05/2018 00:00	183.77
22/05/2018 00:00	184.93
23/05/2018 00:00	182.5
24/05/2018 00:00	185.88
25/05/2018 00:00	186.16
29/05/2018 00:00	185.74
30/05/2018 00:00	186.54
31/05/2018 00:00	187.87
01/06/2018 00:00	193
04/06/2018 00:00	191.78
05/06/2018 00:00	194.48
06/06/2018 00:00	191
07/06/2018 00:00	190.75
08/06/2018 00:00	187.53
11/06/2018 00:00	188.81
12/06/2018 00:00	192.4
13/06/2018 00:00	192.55
14/06/2018 00:00	193
15/06/2018 00:00	195.79
18/06/2018 00:00	194.8
19/06/2018 00:00	196.12
20/06/2018 00:00	199
21/06/2018 00:00	202.54
22/06/2018 00:00	201.72
25/06/2018 00:00	200
26/06/2018 00:00	197.58
27/06/2018 00:00	199.18
28/06/2018 00:00	195
29/06/2018 00:00	197.48
02/07/2018 00:00	193.33
03/07/2018 00:00	194.66
05/07/2018 00:00	194.74
06/07/2018 00:00	203.23
09/07/2018 00:00	204.82
10/07/2018 00:00	204.64
11/07/2018 00:00	202.42
12/07/2018 00:00	203.5
13/07/2018 00:00	207.91
16/07/2018 00:00	207.32
17/07/2018 00:00	204.9
18/07/2018 00:00	210
19/07/2018 00:00	208.78
20/07/2018 00:00	208.85
23/07/2018 00:00	210.61
24/07/2018 00:00	215.13
25/07/2018 00:00	215.81
26/07/2018 00:00	175.33
27/07/2018 00:00	179.9
30/07/2018 00:00	175.21
31/07/2018 00:00	170.6
01/08/2018 00:00	173.95
02/08/2018 00:00	170.57
03/08/2018 00:00	177.78
06/08/2018 00:00	179.1
07/08/2018 00:00	186.59
08/08/2018 00:00	184.98
